Activity(1 hour),130 lb,155 lb,180 lb,205 lb,1 lb
"Cycling, mountain bike, bmx",502,598,695,791,3.859812669
"Cycling, ",236,281,327,372,1.814897164
"Cycling, >20 mph, racing",944,1126,1308,1489,7.264033973
"Cycling, 10-11.9 mph, light",354,422,490,558,2.722457752
"Cycling, 12-13.9 mph, moderate",472,563,654,745,3.632626743
"Cycling, 14-15.9 mph, vigorous",590,704,817,931,4.540187331
"Cycling, 16-19 mph, very fast, racing",708,844,981,1117,5.447523906
Unicycling,295,352,409,465,2.270178354
"Stationary cycling, very light",177,211,245,279,1.361228876
"Stationary cycling, light",325,387,449,512,2.497194903
"Stationary cycling, moderate",413,493,572,651,3.177738943
"Stationary cycling, vigorous",620,739,858,977,4.767373257
"Stationary cycling, very vigorous",738,880,1022,1163,5.676322735
"Calisthenics, vigorous, pushups, situps€",472,563,654,745,3.632626743
"Calisthenics, light",207,246,286,326,1.589634314
"Circuit training, minimal rest",472,563,654,745,3.632626743
"Weight lifting, body building, vigorous",354,422,490,558,2.722457752
"Weight lifting, light workout",177,211,245,279,1.361228876
Health club exercise,325,387,449,512,2.497194903
Stair machine,531,633,735,838,4.084906141
"Rowing machine, light",207,246,286,326,1.589634314
"Rowing machine, moderate",413,493,572,651,3.177738943
"Rowing machine, vigorous",502,598,695,791,3.859812669
"Rowing machine, very vigorous",708,844,981,1117,5.447523906
Ski machine,413,493,572,651,3.177738943
"Aerobics, low impact",295,352,409,465,2.270178354
"Aerobics, high impact",413,493,572,651,3.177738943
"Aerobics, step aerobics",502,598,695,791,3.859812669
"Aerobics, general",384,457,531,605,2.950863191
Jazzercise,354,422,490,558,2.722457752
"Stretching, hatha yoga",236,281,327,372,1.814897164
Mild stretching,148,176,204,233,1.135966027
Instructing aerobic class ,354,422,490,558,2.722457752
Water aerobics,236,281,327,372,1.814897164
"Ballet, twist, jazz, tap",266,317,368,419,2.044915505
"Ballroom dancing, slow",177,211,245,279,1.361228876
"Ballroom dancing, fast",325,387,449,512,2.497194903
"Running, 5 mph (12 minute mile)",472,563,654,745,3.632626743
"Running, 5.2 mph (11.5 minute mile)",531,633,735,838,4.084906141
